,Topic,Pledge
16,3,"Andalusia, together with three other Spanish Regions (Catalonia, Navarra and Valencia) have been awarded by the European Commission with the Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism._x000D_
The OECD is involved in this special technical support. This partnership of regions have been mobilised through NECSTouR Tourism of Tomorrow Lab, a network of European Regions collaborating for positioning sustainable and competitive tourism in the European Tourism Agenda. _x000D_
This DG Reform Support Service, implemented with the support of the OECD, and through the NECSTouR ToT Lab will work on:_x000D_
•	The development of Definition of a joint methodology on sustainability within the framework of EU green deal and UN SDGs (expected for spring 2023),_x000D_
•	Aggregation of fragmented data,_x000D_
•	Developing pilots for implementing these monitoring tools (expected for December 2023) and_x000D_
•	Capacity building and exchange on best practices for DMOs on sustainable monitoring frameworks"
17,3,"We are running the Sustainable Tourism Observatory of South Tyrol, being one of the most active observatories of the UNWTO Network INSTO. We are actively contributing to the advancement of Sustainable Tourism Monitoring and Statistics, by identifying new indicators (e.g. using GIS techniques), adequate proxies for missing data (e.g. estimation of resource consumptions) and new monitoring fields (e.g. immaterial heritage preservation). By 2025 we plan to further advance the work of the observatory and to link the political decision-making process to our statistics. Indeed, a regional development plan for South Tyrol (""Landestourismusentwicklungskonzept 2030+) has been approved and officially presented based on the observatory's data (see:  https://news.provinz.bz.it/de/news-archive/664727). This instrument will transform the tourism system based on the sustainability criteria and will establish maximum capacity limits for the accommodation sector. A website of the observatory is available here: https://sustainabletourism.eurac.edu ."
18,3,"Global Blue is a VAT Refund operator present in all EU Member States. We provide technology solutions to facilitate the tax-free shopping process for European merchants and non-EU travellers in the EU. Through our services (and always in compliance with data protection rules), we are able to collect a wealth of data including traveller country of origin, countries of travel destination, shopping and travel habits. We are available to establish bilateral/multilateral agreements to share this data on a quarterly basis with relevant stakeholders to help inform their official statistics. This data will ultimately help inform official tourism statistics and indicators on the economic impact of international tourism to the EU. We hope to establish by 2025 data sharing practices in several MS which have contributed to improving their official tourism statistics."
19,3,"The regional tourism observatory will be strengthened by real-time monitoring of various quantitative and qualitative indicators. From 2023, the Regional Tourist Committee, acting on behalf of the Region, will associate the territories willing to share their data and acquire new one in a view to setting up new common tools._x000D_
_x000D_
_x000D_
Le Comité Régional du Tourisme Paris Île-de-France (CRT), dont c’est l’une des missions fondamentales, a mis en place un dispositif régional d’observation touristique reconnu et ambitieux, en particulier grâce à un dispositif d’enquêtes aux aéroports, dans les trains et sur les routes, permanent devenu une référence au fil des années. La Région entend maintenir ce positionnement de leader français en matière d’observation._x000D_
_x000D_
Le CRT travaillera donc à consolider ce système régional d’observation en prenant en compte les besoins exprimés par les professionnels du tourisme : intégration des enjeux d’e-réputation à l’échelle régionale et infrarégionale et suivi en temps réel d’un certain nombre d’indicateurs quantitatifs et qualitatifs au moyen d’outils technologiques innovants._x000D_
_x000D_
Le CRT proposera en outre dès 2023 à tous les territoires franciliens qui le souhaitent s’associer à la démarche de partager les données du tourisme dont ils disposent et d’acquérir de nouvelles données si nécessaire en vue de la mise en place de nouveaux outils communs. Et il accompagnera les partenaires qui le souhaitent dans la montée en compétences de leurs équipes d’observation afin d’alimenter une dynamique régionale forte et une cohérence toujours plus importante des données collectées et communiquées et étudiera la possibilité d’intégrer de nouveaux partenaires, publics et privés, qui pourront alimenter et participer au développement du système régional d’observation (opérateurs de transports, grandes entreprises touristiques, établissements publics, etc.)._x000D_
_x000D_
Enfin, la Région Ile-de-France suit avec intérêt la nouvelle initiative du « Tourism of Tomorrow Lab » initiée par le réseau NECSTouR sous la forme d’un partenariat public privé dont la mission est d'aider les destinations à mettre en œuvre des politiques durables basées sur une connaissance et une gestion fine de leurs données touristiques."
20,3,"ISTO's Observatory on Social, Fair and Sustainable Tourism will be running by 2025.  _x000D_
_x000D_
ISTO is working on the development of an Observatory on Social, Fair and Sustainable Tourism with qualitative and quantitative indicators. Its main functions would be as follow :_x000D_
To centralise, process and standardise in a coordinated manner the statistical information available from_x000D_
various sources at national, regional or international level, as well as from surveys that are carried out_x000D_
periodically from other sources of information._x000D_
To have available other data on supply and demand in the field of social, fair and sustainable tourism,_x000D_
carried out by other bodies._x000D_
To create a documentary fund focusing on social policies in tourism, good practices, legislation, tourism_x000D_
enterprises and customers, as well as academic works, which can be consulted by researchers and_x000D_
interested stakeholders._x000D_
To promote the carrying out of specific studies that contribute to the improvement of the tourism sector._x000D_
To produce periodical publications of interest for the tourism sector._x000D_
ISTO's Observatory will be running by 2025"
21,3,"Developing a monitoring system to map the relevant indicators regarding active and sport truism in Portugal, identifying the barriers and the development enabling factors. Target by 2025: conclusion of the Portuguese Active/Sport Tourism Chart."
22,3,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. One of these measures is about the Establishment of a data recording and monitoring system for the transition towards Circular Tourism at the regional level.Our concrete target for 2027 is Data recording and processing for Circular transition monitoring."
23,3,"Statistical Office of the Republic of Slovenia (SURS) is constantly striving to provide accurate, up-to date and relevant data on various topics. In the field of tourism statistics, we are actively participating in the process of defining a set of indicators to measure economic, environmental and social areas of tourism within the new national strategy for the development of the tourism in 2022 – 2028. SURS will publish indicators for which we are collecting the data on our website._x000D_
_x000D_
SURS also successfully applied to technical support instrument (TSI): Support to the tourism ecosystem toward a more sustainable, resilient and digital tourism. Among other activities, we will address with TSI two key challenges we are facing – development of indicators and collection of data to measure sustainability and digitalisation of tourism. With these indicators, SURS will measure progress towards green and digital transformation of Slovenian tourism. The data will be published on our website._x000D_
_x000D_
SURS targets until 2025 are:_x000D_
•	Definition and publication of indicators on economic performance of tourism_x000D_
•	Development and publication of indicators to measure sustainability of tourism_x000D_
•	Development and publication of indicators to measure digitalisation of tourism"
24,3,"SETTING UP A UNIFORM SYSTEM FOR MONITORING THE SUSTAINABLE DEVELOPMENT OF TOURISM_x000D_
Current situation: Currently, there is no system for measuring the sustainability of tourism development. Several institutions (City of Zagreb, City of Zagreb Tourist Board, Croatian Bureau of Statistics etc.) measure mainly statistical data on the territory of the City of Zagreb, in order to monitor the arrivals, overnight stays, number of visitors and similar. So far, these institutions have not monitored tourism by taking into account sustainability. The setting up of a uniform system for monitoring the sustainable development of tourism, such as a digital platform putting together all reports on a yearly basis, would allow the monitoring of tourism industry sustainability and that would ensure timely detection and minimisation of possible negative impacts, which may be caused by tourist operations at the destination. The indicators of sustainable development of tourism have multiple functions, including the examination of past changes and the prediction of the future ones, which contributes to better understanding of complex processes at the destination. Correctly determined sustainable development indicators will lead to quality and informed management and more efficient measuring, and will as well represent a better basis for taking decisions concerning sustainable tourism development and better management of urban resources._x000D_
Measure – collection of information from various institutions and publicly available sources, such as citizen, visitor, tourist and tourist industry polls_x000D_
Objective – setting up, by 2023, a uniform system for monitoring the sustainable development of the City of Zagreb tourism"
25,3,"Tourism in Skåne initiated and coordinates the BI-Syd partnership together with 7 Regional DMOs in Sweden, to have a common knowledge platform for trends, external analysis and statistical issues. One of the initiatives over the past 5 years has been to systematize, automate and visualize basic statistics and indicators in tourism in a digital tool, accessible to all. This turned to be a role model and inspiration for the development of a national tool launched by the end of 2021 by the Swedish Agency for Economic and Regional Growth._x000D_
Furthermore, within the framework of the BI-Syd Partnership, we have initiated a development pilot in collaboration with a leading phone company to see how we can use mobility data to measure flows in nature based areas. We are currently at the end of the data collecting phase and beginning the development phase. Here we want to test and identify suitable data as indicators to measure and control flows and volumes in order to achieve more balanced flows in attractive areas with high density of visitors._x000D_
Coming work is that we have committed to collaborate nationally (national and regional organizations) to find common indicators for sustainable destinations. This work has begun in October 2022 and aims to complete a form of how to optimize the work to be done and find a good collaborating method._x000D_
The overall target is to ensure that Tourism in Skåne by 2024 regularly contributes to solving societal challenges linked to the SDGs with the aim of reaching a more balanced flow of visitors and to achieve that Skåne is a more vital destination all year round by 2030 the latest."
26,3,"The actions below are all linked to measurable taregets in our sustainability plan. Collecting data is not a goal itself but serves as a way of measuring the actual goal. _x000D_
_x000D_
Goal ACCESSIBILITY: The satisfaction score of international residential tourists with regard to the hospitality of the local population in the art cities, regions and the coast amounts to at least 200 (in the Travelsat statistics, currently 170)._x000D_
_x000D_
Action regarding data collection: _x000D_
2.1.6	We are developing a method to determine satisfaction with the hospitality of the local population in the regions and at the coast._x000D_
_x000D_
Goals TRANSPORT:_x000D_
-	The share of residential tourists in art cities that travel by car (currently 46%) and train (regular trains + HST, currently 41%) is reversed by 2030._x000D_
-	At least 15% of residential tourists in the Flemish regions staying in a hotel or B&B travel by public transport and/or bicycle by 2030 (currently 8% for hotels and 6% for B&Bs)_x000D_
-	At least 25% of residential tourists at the coast staying in commercial accommodation travel by train in 2030 (currently 14%)._x000D_
_x000D_
Action regarding data collection: _x000D_
2.2.5	We develop a method to establish satisfaction with public transport of residential tourists in the regions and at the coast._x000D_
_x000D_
Goal COMMUNICATION:_x000D_
-	Entrepreneurs, visitors and residents have access to transparent and unambiguous information about the sustainability efforts of Visit Flanders, which it reports on every year._x000D_
_x000D_
Action regarding data collection: _x000D_
2.3.6	Sustainability performance is monitored and communicated either annually or, where possible, on a permanent basis, to the sector, residents and our visitors. These indicators are a.o.:_x000D_
EXTERNAL:_x000D_
- The use of energy and water offer_x000D_
- waste consumption of our tourism offer_x000D_
- the number of Green Key and Blue Flag Certifications_x000D_
- the number of accessibility certifications in Flemish accommodation and congress venues_x000D_
- Our Travelsat score for hospitality, public transportation satisfaction_x000D_
- The share of visitors coming by train and car_x000D_
- Satisfaction about sustainability information that we offer_x000D_
- Some of the scores of our Destination Barometer and Resident Survey (find links below)_x000D_
- The GHG emissions produced by our foreign visitors and accommodations_x000D_
-..._x000D_
_x000D_
INTERNAL OPERATIONS_x000D_
- Consumption of energy and water_x000D_
- Production of waste_x000D_
- Share of renewable materials used for exhibitions, goodie bags,..._x000D_
-..._x000D_
_x000D_
Goal ENVIRONMENTAL SUSTAINABILITY OF TOURISM OFFER:_x000D_
-	The material footprint of tourism businesses decreases by 30% by 2030. _x000D_
_x000D_
Action regarding data collection: _x000D_
2.4.12	We develop a method to estimate the material footprint and waste production of our tourism industry wherever possible. This allows us to develop SMART objectives for waste management._x000D_
_x000D_
Goal GHG Emissions_x000D_
-	Greenhouse gas emissions generated by the movements of our foreign visitors fall by 25% by 2030, compared to 2019. Emissions resulting from their stay drop by 50% by 2030._x000D_
_x000D_
Action regarding data collection: _x000D_
2.6.3	We continue to monitor the carbon footprint of our visitors and organisation._x000D_
2.6.4	We measure the emissions resulting from our events, whether organised by us or co-organised within our themes and develop guidelines to reduce this impact._x000D_
_x000D_
Goal WATER_x000D_
-	The consumption of drinking water at our office and assets is reduced by 40% by 2030 and 20% by 2024._x000D_
_x000D_
Action regarding data collection: _x000D_
3.2.2	We monitor water consumption at our office, if possible also at our foreign offices and our assets._x000D_
_x000D_
GOALS WASTE MANAGEMENT AND USE OF RAW MATERIALS_x000D_
-	Domestic waste at our office and assets decreases by 75% by 2030 and is collected after being fully sorted in the right way._x000D_
-	We reduce the material footprint of our internal organisation by 30% by 2030._x000D_
_x000D_
_x000D_
Actions regarding data collection: _x000D_
3.1.4	We monitor the material footprint of our assets and draw up a programme to reduce it in association with Vlaanderen Circulair._x000D_
3.3.2	We monitor the energy consumption and emissions of our office, if possible our foreign offices, and all our sites._x000D_
_x000D_
The actions above are additional data we collect besides _x000D_
- our biannual resident survey: http://toerism-vlaanderen.s3-website-eu-west-1.amazonaws.com/nl _x000D_
- our destination barometer: https://toerismevlaanderen.be/nl/cijfers-en-onderzoek/toeristische-barometers/bestemmingsbarometer"
27,4,"We are working on the Spanish national strategy of Smart Destinations (UNE 178) and also on the EU Smart Tourism Destination Strategy._x000D_
For 2025 we hope to have helped 8 different municiaplities implement these strategies."
28,4,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean. This will be done mainly through EU territorial cooperation projects._x000D_
For what concerns tourism strategies update, AViTeM will keep capitalising the results of its ongoing and past projects to produce useful recommendations for the improvement of tourism-related policies._x000D_
By 2030, we expect to have developed and shared good practice examples and concrete outputs from the European cooperation projects we are involved in, with the policy makers of our network, so that they can include these in their policies and strategies related to tourism. We also expect to involve a large number of local and regional entities (ex: city of Marseille, Region of Provence Alpes Côte d'Azur, Provence tourism entity, natural parks, etc.) as partners in new European cooperation projects aiming to updating tourism policies & strategies to make them more sustainable & human-centred."
29,4,"""Together, building a recognised responsible tourism destination"" is the new roadmap for tourism and events in Bordeaux. _x000D_
_x000D_
After 10 months of participatory consultations during which all the territory’s stakeholders exchanged their ideas for the tourism and events of tomorrow, Bordeaux Metropole has developed its roadmap up to 2026._x000D_
_x000D_
This document is the result of a synthesis of the ideas exchanged during the 9 workshops. Bordeaux Tourist & Conventions Office and Bordeaux Métropole worked hand in hand to offer a panel of 32 detailed actions with precise objectives, success indicators, a timetable and identification of key partners. A maximum of parameters were taken into account and calculated to ensure the proper implementation of each action._x000D_
_x000D_
Here are the objectives that the destination is committed to meeting:_x000D_
– Improving the offer and accompanying it through its environmental transition so that it is adapted to the new customers’ expectations and to the environmental commitments of Bordeaux Métropole, to go back to pre-Covid tourism performances by renewing and creating customer loyalty thanks to the upgrade and transformation of the offering._x000D_
_x000D_
– Developing local tourism to guarantee a balance for the territory, extending touristic seasons, incentivising dialogue between residents and visitors by offering to the metropolis’ inhabitants new discoveries and stay in and around Bordeaux Métropole area._x000D_
_x000D_
– Developing business tourism alongside with the territory’s sectors of excellence to always use better our dedicated infrastructures – those which have been built recently or those for which investments have been planned – and to increase economic impacts for the area regarding main sectors and skills_x000D_
_x000D_
The roadmap is available on this link: https://fr.calameo.com/read/005365752988738931087_x000D_
_x000D_
UPDATE: The objective of this new open governance process is to empower our community, to make them decide the future of tourism in our city. For that, it is important for us that they also have all the information needed on how our industry works. On agora-tourism-bordeaux.com, key figures about tourism are regularly updated with full transparency. We also publish entirely the surveys we regularly do among our residents and visitors. This website will be continously updated and developed. Our target is to maintain a tourist activity support rate among residents equal or superior to the European medium rate during our resident sentiment index surveys (each two years, the next one will be in 2023)."
30,4,". The General Directorate of Tourism of the Catalan Government has proposed a National Agreement for Responsible Tourism, a framework agreed with all the agents on tourism in the country, which goal is to contribute to the wellbeing of the community through the values of travel.  This agreement is inspired on the Barcelona Declaration “Better Places to Live, Better Places to Visit”_x000D_
This agreement will be the framework of the Catalan Tourism policy including the future Tourism Law, the tourism strategy and marketing plan, the new system of tourism intelligence, among others. Currently, Catalonia is working on the T Plan (a Tourism that is: transformative, transversal and in transition) which will act as the executive plan for the National Agreement for Responsible Tourism. _x000D_
Target: _x000D_
2022: present the T Plan and the new system of tourism intelligence,_x000D_
2023: Tourism strategy and marketing plans 2023-2027 drafted and  Approval of the new tourism law_x000D_
_x000D_
_x000D_
. The Catalan Tourist Board is implementing its sustainability strategy 2021-2023, which is a declaration of intent to improve the management of the organisation’s impact and contribute favorably to the industry’s ecosystem, accelerating the transition towards a more sustainable model of tourism, being aligned to the SDGs.  The strategy includes 4 areas and total of 15 actions:_x000D_
AREA 1 Governance for organisation sustainability._x000D_
AREA 2 Governance of tourism activity and relations with industry, with a vision _x000D_
AREA 3 Support for and promotion of a sustainable tourism offer._x000D_
AREA 4 Sustainability of the tourism model through the markets._x000D_
This strategy is inspired on the principles of the Barcelona Declaration “Better Places to Live, Better Places to Visit”_x000D_
Target: _x000D_
2024 successful implementation of the strategy and legacy for the"
31,4,"Coordinate the promotion of the EU brand tourism offer through an integrated and interconnected digital ecosystem among public and private stakeholders, countries, territories and regions_x000D_
_x000D_
. _x000D_
Between 12th and 14th October 2022, CNA Turismo e Commercio will organize a conference  - on the occasion of the 59th edition of the TTG Travel experience / where there will be public and private exhibitors of national, European and international interest /  at Rimini Fiere to reaffirm the importance of a coordinated promotion of the EU brand’s tourist offer."
