,Topic,Pledge,Pledge status,PreProcessedText
11,3,"Working on a monitoring scheme for climate-neutral destinations. Calculating and monitoring the (real! comprehensive) CO2-Footprint of tourism; developing programs to avoid, reduce and compensate. The methodology should be ready, tested and available by end of 2023.",Published,work monitoring scheme climate neutral destination calculate monitor real comprehensive co footprint tourism develop program avoid reduce compensate methodology ready test available end
12,3,"Revision of the rules for the collection and, above all, the availability of statistical and sample data on tourist flows both at European level and for individual countries.

Given the interest and the attention towards this sector, from autumn 2022, CNA Turismo e Commercio will promote discussion with public and private stakeholders in order to streamline information flows and strengthen the governance capacity of statistics on the sector. The objective is to share aggregated data that play a strategic role and of common interest also for the purpose of a more immediate transmission to Eurostat.

To promote and support discussions, our organisation commits to provide concrete analysis and options of improving data flows and statistics yearly.",Ready for publishing,revision rule collection availability statistical sample data tourist flow european level individual country give interest attention towards sector autumn cna turismo commercio promote discussion public private stakeholder order streamline information flow strengthen governance capacity statistic sector objective share aggregate data play strategic role common interest also purpose immediate transmission eurostat promote support discussion organisation commits provide concrete analysis option improve data flow statistic yearly
13,3,"Our Intermediterranean and Islands Commissions, together with several technical partners and Tourism Observatories in the Mediterranean, are working to create a Network of Mediterranean Observatories on Sustainable Tourism (Med NSTO). This work is being supported by an EU territorial cooperation project, BEST MED, funded by Interreg Med Programme. This project is producing an info hub and will deliver a road map describing the next steps to create the NSTO by the end of 2022. 

Our organization, including some of our member regions (e.g. in Italy and Spain) in particular are especially engaged in this process and will keep working after the project’s conclusion to set up this Network of observatories with the idea to bring together the main parties to share ideas, techniques and tools on data/indicators, and to build multi-level cooperation in order to seek better joint solutions and work in a common direction. 

Hopefully for 2025 we will have consolidated the current embryo of network of observatories, linking up with INSTO from UN WTO, the Glasgow Declaration and other initiatives/EC actions, indeed contributing to the EU Pathway and topic 3 and in particular to harmonised data collection, improving access to data for official statistics and including key sustainability indicators on the basis of the work already done in the past and in concrete projects such as BEST MED, Mitomed +, Co-Evolve, among others. 

It’s difficult to look further than 2025. This is a work in progress that will depend on the will and resources of all involved parties and on the support coming from EU funding streams which we are already applying for to the relevant cooperation programmes in the framework of open call for proposals (e.g. call for governance projects Euro-Med Interreg). 

If this experience works, we don’t exclude to assess the possibility to replicate it in other sea basins or in any case to extrapolate useful results for the benefit of other EU regions within our membership/EU Tourism transition pathway implementation. 

On a more general note, if any discussion on data/indicators is foreseen at EU level involving the regions our organization will be happy to liaise and provide representatives/experts from our member regions and their observatories. Also as a network we have a vocation to establish synergies with the foreseen tourism stakeholder collaboration platform and other platforms and initiatives.",Published,intermediterranean island commission together several technical partner tourism observatory mediterranean work create network mediterranean observatory sustainable tourism med nsto work support eu territorial cooperation project best med funded interreg med programme project produce info hub deliver road map describe next step create nsto end organization include member region italy spain particular especially engage process keep work project conclusion set network observatory idea bring together main party share idea techniques tool data indicator build multi level cooperation order seek well joint solution work common direction hopefully consolidated current embryo network observatory link insto un wto glasgow declaration initiative ec action indeed contribute eu pathway topic particular harmonise data collection improve access data official statistic include key sustainability indicator basis work already do past concrete project best med mitomed co evolve among others difficult look work progress depend resource involve party support come eu fund stream already apply relevant cooperation programme framework open call proposal call governance project euro med interreg experience work exclude assess possibility replicate sea basin case extrapolate useful result benefit eu region within membership eu tourism transition pathway implementation general note discussion data indicator foresee eu level involve region organization happy liaise provide representative expert member region observatory also network vocation establish synergy foreseen tourism stakeholder collaboration platform platforms initiative
14,3,"The increase of the main tourism indicators is one of the most important objectives of the tourism sector strategy, the implementation of which will start in the next period. We expect that by 2030 we will see not only consistent increases in tourism indicators, but also an operational measurement and monitoring system that is intuitive and adapted to trends.",Published,increase main tourism indicator one important objective tourism sector strategy implementation start next period expect see consistent increase tourism indicator also operational measurement monitoring system intuitive adapt trend
15,3,"Tourism intelligence and innovation one of six action programs of the Strategic Tourism Plan for Navarra 2018-2025. This plan formulates the need to improve the measurement of Tourism in Navarra, including sustainability.
To meet these needs, the Navarra Tourism Observatory were been created to be at service for both the public administration and the sector. Since establishing the observatory, we have made considerable advancements and in 2019, we entered the UNWTO International Network of Sustainable Tourism Observatories (INSTO). As an INSTO member, we commit to submit a yearly report monitoring 11 mandatory issue areas.
The reports for 2019 and 2020 are available here:
https://www.visitnavarra.es/es/web/turismoprofesional/observatorio-turistico/red-observatorio-sostenible-insto/memorias-anuales
In 2021, we joined NECSTouR and its the Tourism of Tomorrow Lab. Through our participation in this network, we aim to further improve tourism statistics.
Strategic objectives:
Within the framework of the Navarra Tourism Action Plan 2020-2022, within Strategic Line 6: Tourism intelligence, the following objectives have been established:
- Monitor Navarra's tourist offer in its progress towards digital transformation, competitiveness, sustainability, quality and inclusion
- Increase knowledge about tourism flow and demand
- Measurement of social sustainability in the territory
- Monitoring of national and international trends and competitors
The degree of achievement of the same will be assessed through the monitoring of these indicators:
- Number of new data sources incorporated
- Variation in spending at destination
- Variation in indicators of sustainability, digital transformation, competitiveness and inclusion.
These objectives are in alignment with those proposed in:
- The Strategic Plan for Tourism 2018-2025, in which the ""Creation of the Navarra Tourism Observatory to improve the transfer of market intelligence knowledge to the sector as a whole"" was determined.
- And at the international level with the SDGs 2020: Objective 8 Decent work and economic growth; Objective 9 Industry, Innovation and Infrastructure; Objective 12 Responsible production and consumption)
Its development is also supported by the Smart Specialization Strategy of Navarra S4 (2021-2027 update), in which sustainable tourism is established as a thematic priority and the development of lines of work such as the ""Digital transition in the intelligence system of tourist markets. Collection of data on demand, preferences and behaviors for decision-making in tourism marketing”.",Published,tourism intelligence innovation one six action program strategic tourism plan navarra plan formulate need improve measurement tourism navarra include sustainability meet need navarra tourism observatory create service public administration sector since establish observatory make considerable advancement enter unwto international network sustainable tourism observatory insto insto member commit submit yearly report monitor mandatory issue area report available join necstour tourism tomorrow lab participation network aim improve tourism statistic strategic objective within framework navarra tourism action plan within strategic line tourism intelligence follow objective establish monitor navarra tourist offer progress towards digital transformation competitiveness sustainability quality inclusion increase knowledge tourism flow demand measurement social sustainability territory monitor national international trend competitor degree achievement assess monitoring indicator number new data source incorporate variation spending destination variation indicator sustainability digital transformation competitiveness inclusion objective alignment propose strategic plan tourism creation navarra tourism observatory improve transfer market intelligence knowledge sector whole determine international level sdgs objective decent work economic growth objective industry innovation infrastructure objective responsible production consumption development also support smart specialization strategy navarra update sustainable tourism establish thematic priority development line work digital transition intelligence system tourist market collection data demand preference behavior decision make tourism marketing
16,3,"In order to get harmonised tourism statistics including on economic, social and environmental sustainability, we need more detailed statistics on employment in tourism.
So far, there are very detailed statistics e.g. on tourist arrivals, on occupancy rates of accommodation, often provided on a monthly basis.

EFFAT will 
- in 2023-2025, continue to lobby Eurostat to collect and share more detailed data on employment in hospitality-tourism
- inform its member organisations about the statistics for the hospitality-tourism sector provided by Eurostat on a yearly basis, or whenever new statistics are published
- invite national member organisations to provide information about employment figures in case of particular circumstances, as done in 2020 to get knowledge about the job losses caused by the COVID-19 pandemic, and in 2022 to see the scope of labour shortages in the sector",Ready for publishing,order get harmonise tourism statistic include economic social environmental sustainability need detail statistic employment tourism far detailed statistic tourist arrival occupancy rate accommodation often provide monthly basis effat continue lobby eurostat collect share detail data employment hospitality tourism inform member organisation statistic hospitality tourism sector provide eurostat yearly basis whenever new statistic publish invite national member organisation provide information employment figure case particular circumstance do get knowledge job loss cause covid pandemic see scope labour shortage sector
17,3,"Andalusia, together with three other Spanish Regions (Catalonia, Navarra and Valencia) have been awarded by the European Commission with the Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism.
The OECD is involved in this special technical support. This partnership of regions have been mobilised through NECSTouR Tourism of Tomorrow Lab, a network of European Regions collaborating for positioning sustainable and competitive tourism in the European Tourism Agenda. 
This DG Reform Support Service, implemented with the support of the OECD, and through the NECSTouR ToT Lab will work on:
•	The development of Definition of a joint methodology on sustainability within the framework of EU green deal and UN SDGs (expected for spring 2023),
•	Aggregation of fragmented data,
•	Developing pilots for implementing these monitoring tools (expected for December 2023) and
•	Capacity building and exchange on best practices for DMOs on sustainable monitoring frameworks",Published,andalusia together three spanish region catalonia navarra valencia award european commission structural reform support service tourism ecosystem towards sustainable resilient digital tourism oecd involve special technical support partnership region mobilise necstour tourism tomorrow lab network european region collaborate position sustainable competitive tourism european tourism agenda dg reform support service implement support oecd necstour tot lab work development definition joint methodology sustainability within framework eu green deal un sdgs expect spring aggregation fragment data develop pilot implement monitoring tool expect december capacity building exchange best practice dmos sustainable monitoring framework
18,3,"We are running the Sustainable Tourism Observatory of South Tyrol, being one of the most active observatories of the UNWTO Network INSTO. We are actively contributing to the advancement of Sustainable Tourism Monitoring and Statistics, by identifying new indicators (e.g. using GIS techniques), adequate proxies for missing data (e.g. estimation of resource consumptions) and new monitoring fields (e.g. immaterial heritage preservation). By 2025 we plan to further advance the work of the observatory and to link the political decision-making process to our statistics. Indeed, a regional development plan for South Tyrol (""Landestourismusentwicklungskonzept 2030+) has been approved and officially presented based on the observatory's data (see:  https://news.provinz.bz.it/de/news-archive/664727). This instrument will transform the tourism system based on the sustainability criteria and will establish maximum capacity limits for the accommodation sector. A website of the observatory is available here: https://sustainabletourism.eurac.edu .",Published,run sustainable tourism observatory south tyrol one active observatory unwto network insto actively contribute advancement sustainable tourism monitor statistic identify new indicator use gi technique adequate proxy miss data estimation resource consumption new monitoring field immaterial heritage preservation plan advance work observatory link political decision make process statistic indeed regional development plan south tyrol landestourismusentwicklungskonzept approve officially present base observatory data see instrument transform tourism system base sustainability criterion establish maximum capacity limit accommodation sector website observatory available
19,3,"Investing into a comprehensive research on the European health tourism that is based on primary datas and would include the private sector and then accelerate further destination development and economic impact of health tourism. The study report on health tourism (European Parliament, 2017) and the report on health tourism (UNWTO & ETC, 2018) imply that increasing the share of health tourism may reduce tourism seasonality, improve sustainability, and labour quality, and help to reduce healthcare costs through prevention measures and decreased pharmaceutical consumption. However, both reports lack primary data, and they did not consider the needs of the private sector.
Investing into developing high-quality data bases and benchmarking across all segments of the health tourism sector in Europe. Big data are the key to measure success in the digital era, but it requires intense efforts from the public and private sector. Health sector gathers significant data that are treated individually by each service provider. Benchmarking would allow performance measurement of marketing effects, and boost competitiveness and quality of services of the European health tourism offer. It would permit better inclusion of telemedicine and improve patients’ experience, including tourists and European citizens.
Measurable result: 
-within two years, a joint event with the UNWTO with a focus on health tourism and to present the economic impact of health resorts in one of our member states based on primary data
-in the next 2 years annual event in the EU Parliament for the health tourism industry
-part of the annual congress of ESPA to publish the medical results of preventive treatments in at least 3 countries as best case
- the create one innovation Award for a sustainable medical spa/spa town or spa hotel and to show focus on sustainbale methods in all other Innovation Awards categories 
-to extend the e-library where all medical rsult are published",Ready for publishing,invest comprehensive research european health tourism base primary data would include private sector accelerate destination development economic impact health tourism study report health tourism european parliament report health tourism unwto etc imply increase share health tourism may reduce tourism seasonality improve sustainability labour quality help reduce healthcare cost prevention measure decrease pharmaceutical consumption however report lack primary data consider need private sector invest develop high quality data base benchmarking across segment health tourism sector europe big data key measure success digital era require intense effort public private sector health sector gather significant data treat individually service provider benchmarking would allow performance measurement marketing effect boost competitiveness quality service european health tourism offer would permit good inclusion telemedicine improve patient experience include tourist european citizen measurable result within two year joint event unwto focus health tourism present economic impact health resort one member state base primary data next year annual event eu parliament health tourism industry part annual congress espa publish medical result preventive treatment least country best case create one innovation award sustainable medical spa spa town spa hotel show focus sustainbale method innovation award category extend library medical rsult publish
20,3,"Implementation of impact measurement framework by early 2023 and use it to inform all our travelers with a scoresheet with indicators relating to their trip on: 1) Scope 1-3 CO2 emissions, 2) socio-economic benefits 3) comparison of negative and positive effects. We will also use these scoresheets as internal management tool to track progress towards sustainability goals. We encourage travel in shoulder and low season for more regular local income throughout the year and aim to run 30% off tours outside of high season. Already implemented: Only vegetarian/ vegan meal options at team events.",Published,implementation impact measurement framework early use inform traveler scoresheet indicator relate trip scope co emission socio economic benefit comparison negative positive effect also use scoresheets internal management tool track progress towards sustainability goal encourage travel shoulder low season regular local income throughout year aim run tour outside high season already implement vegetarian vegan meal option team event
21,3,"Global Blue is a VAT Refund operator present in all EU Member States. We provide technology solutions to facilitate the tax-free shopping process for European merchants and non-EU travellers in the EU. Through our services (and always in compliance with data protection rules), we are able to collect a wealth of data including traveller country of origin, countries of travel destination, shopping and travel habits. We are available to establish bilateral/multilateral agreements to share this data on a quarterly basis with relevant stakeholders to help inform their official statistics. This data will ultimately help inform official tourism statistics and indicators on the economic impact of international tourism to the EU. We hope to establish by 2025 data sharing practices in several MS which have contributed to improving their official tourism statistics.",Published,global blue vat refund operator present eu member state provide technology solution facilitate tax free shopping process european merchant non eu traveller eu service always compliance data protection rule able collect wealth data include traveller country origin country travel destination shopping travel habit available establish bilateral multilateral agreement share data quarterly basis relevant stakeholder help inform official statistic data ultimately help inform official tourism statistic indicator economic impact international tourism eu hope establish data share practice several m contribute improve official tourism statistic
23,3,"IN2destination actively voluntarily and under contract works with tourism destinations to improve their statistical data and indicators, such as developing sustainable tourism indicators to inform tourism policy decisions. The company also provides training and capacity-building for tourism stakeholders in data collection and analysis. IN2destination's concrete target for 2025 is to assist at least 15 destinations in improving their statistical data and indicators.",Ready for publishing,indestination actively voluntarily contract work tourism destination improve statistical data indicator develop sustainable tourism indicator inform tourism policy decision company also provide training capacity build tourism stakeholder data collection analysis indestination concrete target assist least destination improve statistical data indicator
24,3,"ISTO's Observatory on Social, Fair and Sustainable Tourism will be running by 2025.  

ISTO is working on the development of an Observatory on Social, Fair and Sustainable Tourism with qualitative and quantitative indicators. Its main functions would be as follow :
To centralise, process and standardise in a coordinated manner the statistical information available from
various sources at national, regional or international level, as well as from surveys that are carried out
periodically from other sources of information.
To have available other data on supply and demand in the field of social, fair and sustainable tourism,
carried out by other bodies.
To create a documentary fund focusing on social policies in tourism, good practices, legislation, tourism
enterprises and customers, as well as academic works, which can be consulted by researchers and
interested stakeholders.
To promote the carrying out of specific studies that contribute to the improvement of the tourism sector.
To produce periodical publications of interest for the tourism sector.
ISTO's Observatory will be running by 2025",Published,isto observatory social fair sustainable tourism run isto work development observatory social fair sustainable tourism qualitative quantitative indicator main function would follow centralise process standardise coordinate manner statistical information available various source national regional international level well survey carry periodically source information available data supply demand field social fair sustainable tourism carry body create documentary fund focus social policy tourism good practice legislation tourism enterprises customer well academic work consult researcher interested stakeholder promote carry specific study contribute improvement tourism sector produce periodical publication interest tourism sector isto observatory run
25,3,"ISPRA commits to collect and publish indicators relating to ""tourism and the environment"" at a national and often regional level. These indicators are publicly available on the ISPRA Environmental Indicators Database updated annually (https: //annuario.isprambiente.it/sys_ind/macro/28) browsable online.",Published,ispra commits collect publish indicator relate tourism environment national often regional level indicator publicly available ispra environmental indicator database update annually browsable online
26,3,"Once a year we will monitor, and publish on the National tourism dashboard, social, environmental, and economic indicators for Slovakia, such as:
Social indicators:
1.	Tourist satisfaction - Specific Survey focused on foreign visitors mapping % tourists satisfied
2.	Pressure – Number of beds per 100 residents, Tourism Intensity (Number of tourists overnight stays per 100 residents per day), Tourism Density (Number of tourists overnight stays per day per km2)
Economic indicators:
1.	Regional Dispersion (Bednights in top 5 destinations)
2.	Seasonality Rate – All (Foreign and domestic) tourists bednights in all forms of paid accommodation establishments, Gini Coefficient (  
3.	Economic Benefits - Avg. spend of domestic and foreign tourist per person/per night in €, Average length of stay of tourists in all forms of paid accommodation establishments
4.	Employment - Tourism Employment/Total Employment (%)
Environmental indicators:
1.	Carbon footprint - Tons of CO2 generated by Accommodation and service activities, Travel agency, tour operator and other reservation service and related activities, and Air transport",Published,year monitor publish national tourism dashboard social environmental economic indicator slovakia social indicator tourist satisfaction specific survey focus foreign visitor map tourist satisfied pressure number bed per resident tourism intensity number tourist overnight stay per resident per day tourism density number tourist overnight stay per day per km economic indicator regional dispersion bednights top destination seasonality rate foreign domestic tourist bednights form pay accommodation establishment gini coefficient economic benefit average spend domestic foreign tourist per person per night average length stay tourist form pay accommodation establishment employment tourism employment total employment environmental indicator carbon footprint ton co generate accommodation service activity travel agency tour operator reservation service related activity air transport
