,Topic,Pledge,Pledge status
11,3,"Working on a monitoring scheme for climate-neutral destinations. Calculating and monitoring the (real! comprehensive) CO2-Footprint of tourism; developing programs to avoid, reduce and compensate. The methodology should be ready, tested and available by end of 2023.",Published
12,3,"Revision of the rules for the collection and, above all, the availability of statistical and sample data on tourist flows both at European level and for individual countries.

Given the interest and the attention towards this sector, from autumn 2022, CNA Turismo e Commercio will promote discussion with public and private stakeholders in order to streamline information flows and strengthen the governance capacity of statistics on the sector. The objective is to share aggregated data that play a strategic role and of common interest also for the purpose of a more immediate transmission to Eurostat.

To promote and support discussions, our organisation commits to provide concrete analysis and options of improving data flows and statistics yearly.",Ready for publishing
13,3,"Our Intermediterranean and Islands Commissions, together with several technical partners and Tourism Observatories in the Mediterranean, are working to create a Network of Mediterranean Observatories on Sustainable Tourism (Med NSTO). This work is being supported by an EU territorial cooperation project, BEST MED, funded by Interreg Med Programme. This project is producing an info hub and will deliver a road map describing the next steps to create the NSTO by the end of 2022. 

Our organization, including some of our member regions (e.g. in Italy and Spain) in particular are especially engaged in this process and will keep working after the project’s conclusion to set up this Network of observatories with the idea to bring together the main parties to share ideas, techniques and tools on data/indicators, and to build multi-level cooperation in order to seek better joint solutions and work in a common direction. 

Hopefully for 2025 we will have consolidated the current embryo of network of observatories, linking up with INSTO from UN WTO, the Glasgow Declaration and other initiatives/EC actions, indeed contributing to the EU Pathway and topic 3 and in particular to harmonised data collection, improving access to data for official statistics and including key sustainability indicators on the basis of the work already done in the past and in concrete projects such as BEST MED, Mitomed +, Co-Evolve, among others. 

It’s difficult to look further than 2025. This is a work in progress that will depend on the will and resources of all involved parties and on the support coming from EU funding streams which we are already applying for to the relevant cooperation programmes in the framework of open call for proposals (e.g. call for governance projects Euro-Med Interreg). 

If this experience works, we don’t exclude to assess the possibility to replicate it in other sea basins or in any case to extrapolate useful results for the benefit of other EU regions within our membership/EU Tourism transition pathway implementation. 

On a more general note, if any discussion on data/indicators is foreseen at EU level involving the regions our organization will be happy to liaise and provide representatives/experts from our member regions and their observatories. Also as a network we have a vocation to establish synergies with the foreseen tourism stakeholder collaboration platform and other platforms and initiatives.",Published
14,3,"The increase of the main tourism indicators is one of the most important objectives of the tourism sector strategy, the implementation of which will start in the next period. We expect that by 2030 we will see not only consistent increases in tourism indicators, but also an operational measurement and monitoring system that is intuitive and adapted to trends.",Published
15,3,"Tourism intelligence and innovation one of six action programs of the Strategic Tourism Plan for Navarra 2018-2025. This plan formulates the need to improve the measurement of Tourism in Navarra, including sustainability.
To meet these needs, the Navarra Tourism Observatory were been created to be at service for both the public administration and the sector. Since establishing the observatory, we have made considerable advancements and in 2019, we entered the UNWTO International Network of Sustainable Tourism Observatories (INSTO). As an INSTO member, we commit to submit a yearly report monitoring 11 mandatory issue areas.
The reports for 2019 and 2020 are available here:
https://www.visitnavarra.es/es/web/turismoprofesional/observatorio-turistico/red-observatorio-sostenible-insto/memorias-anuales
In 2021, we joined NECSTouR and its the Tourism of Tomorrow Lab. Through our participation in this network, we aim to further improve tourism statistics.
Strategic objectives:
Within the framework of the Navarra Tourism Action Plan 2020-2022, within Strategic Line 6: Tourism intelligence, the following objectives have been established:
- Monitor Navarra's tourist offer in its progress towards digital transformation, competitiveness, sustainability, quality and inclusion
- Increase knowledge about tourism flow and demand
- Measurement of social sustainability in the territory
- Monitoring of national and international trends and competitors
The degree of achievement of the same will be assessed through the monitoring of these indicators:
- Number of new data sources incorporated
- Variation in spending at destination
- Variation in indicators of sustainability, digital transformation, competitiveness and inclusion.
These objectives are in alignment with those proposed in:
- The Strategic Plan for Tourism 2018-2025, in which the ""Creation of the Navarra Tourism Observatory to improve the transfer of market intelligence knowledge to the sector as a whole"" was determined.
- And at the international level with the SDGs 2020: Objective 8 Decent work and economic growth; Objective 9 Industry, Innovation and Infrastructure; Objective 12 Responsible production and consumption)
Its development is also supported by the Smart Specialization Strategy of Navarra S4 (2021-2027 update), in which sustainable tourism is established as a thematic priority and the development of lines of work such as the ""Digital transition in the intelligence system of tourist markets. Collection of data on demand, preferences and behaviors for decision-making in tourism marketing”.",Published
16,3,"In order to get harmonised tourism statistics including on economic, social and environmental sustainability, we need more detailed statistics on employment in tourism.
So far, there are very detailed statistics e.g. on tourist arrivals, on occupancy rates of accommodation, often provided on a monthly basis.

EFFAT will 
- in 2023-2025, continue to lobby Eurostat to collect and share more detailed data on employment in hospitality-tourism
- inform its member organisations about the statistics for the hospitality-tourism sector provided by Eurostat on a yearly basis, or whenever new statistics are published
- invite national member organisations to provide information about employment figures in case of particular circumstances, as done in 2020 to get knowledge about the job losses caused by the COVID-19 pandemic, and in 2022 to see the scope of labour shortages in the sector",Ready for publishing
17,3,"Andalusia, together with three other Spanish Regions (Catalonia, Navarra and Valencia) have been awarded by the European Commission with the Structural Reform Support Service for the tourism ecosystem: towards a more sustainable, resilient and digital tourism.
The OECD is involved in this special technical support. This partnership of regions have been mobilised through NECSTouR Tourism of Tomorrow Lab, a network of European Regions collaborating for positioning sustainable and competitive tourism in the European Tourism Agenda. 
This DG Reform Support Service, implemented with the support of the OECD, and through the NECSTouR ToT Lab will work on:
•	The development of Definition of a joint methodology on sustainability within the framework of EU green deal and UN SDGs (expected for spring 2023),
•	Aggregation of fragmented data,
•	Developing pilots for implementing these monitoring tools (expected for December 2023) and
•	Capacity building and exchange on best practices for DMOs on sustainable monitoring frameworks",Published
18,3,"We are running the Sustainable Tourism Observatory of South Tyrol, being one of the most active observatories of the UNWTO Network INSTO. We are actively contributing to the advancement of Sustainable Tourism Monitoring and Statistics, by identifying new indicators (e.g. using GIS techniques), adequate proxies for missing data (e.g. estimation of resource consumptions) and new monitoring fields (e.g. immaterial heritage preservation). By 2025 we plan to further advance the work of the observatory and to link the political decision-making process to our statistics. Indeed, a regional development plan for South Tyrol (""Landestourismusentwicklungskonzept 2030+) has been approved and officially presented based on the observatory's data (see:  https://news.provinz.bz.it/de/news-archive/664727). This instrument will transform the tourism system based on the sustainability criteria and will establish maximum capacity limits for the accommodation sector. A website of the observatory is available here: https://sustainabletourism.eurac.edu .",Published
19,3,"Investing into a comprehensive research on the European health tourism that is based on primary datas and would include the private sector and then accelerate further destination development and economic impact of health tourism. The study report on health tourism (European Parliament, 2017) and the report on health tourism (UNWTO & ETC, 2018) imply that increasing the share of health tourism may reduce tourism seasonality, improve sustainability, and labour quality, and help to reduce healthcare costs through prevention measures and decreased pharmaceutical consumption. However, both reports lack primary data, and they did not consider the needs of the private sector.
Investing into developing high-quality data bases and benchmarking across all segments of the health tourism sector in Europe. Big data are the key to measure success in the digital era, but it requires intense efforts from the public and private sector. Health sector gathers significant data that are treated individually by each service provider. Benchmarking would allow performance measurement of marketing effects, and boost competitiveness and quality of services of the European health tourism offer. It would permit better inclusion of telemedicine and improve patients’ experience, including tourists and European citizens.
Measurable result: 
-within two years, a joint event with the UNWTO with a focus on health tourism and to present the economic impact of health resorts in one of our member states based on primary data
-in the next 2 years annual event in the EU Parliament for the health tourism industry
-part of the annual congress of ESPA to publish the medical results of preventive treatments in at least 3 countries as best case
- the create one innovation Award for a sustainable medical spa/spa town or spa hotel and to show focus on sustainbale methods in all other Innovation Awards categories 
-to extend the e-library where all medical rsult are published",Ready for publishing
20,3,"Implementation of impact measurement framework by early 2023 and use it to inform all our travelers with a scoresheet with indicators relating to their trip on: 1) Scope 1-3 CO2 emissions, 2) socio-economic benefits 3) comparison of negative and positive effects. We will also use these scoresheets as internal management tool to track progress towards sustainability goals. We encourage travel in shoulder and low season for more regular local income throughout the year and aim to run 30% off tours outside of high season. Already implemented: Only vegetarian/ vegan meal options at team events.",Published
21,3,"Global Blue is a VAT Refund operator present in all EU Member States. We provide technology solutions to facilitate the tax-free shopping process for European merchants and non-EU travellers in the EU. Through our services (and always in compliance with data protection rules), we are able to collect a wealth of data including traveller country of origin, countries of travel destination, shopping and travel habits. We are available to establish bilateral/multilateral agreements to share this data on a quarterly basis with relevant stakeholders to help inform their official statistics. This data will ultimately help inform official tourism statistics and indicators on the economic impact of international tourism to the EU. We hope to establish by 2025 data sharing practices in several MS which have contributed to improving their official tourism statistics.",Published
23,3,"IN2destination actively voluntarily and under contract works with tourism destinations to improve their statistical data and indicators, such as developing sustainable tourism indicators to inform tourism policy decisions. The company also provides training and capacity-building for tourism stakeholders in data collection and analysis. IN2destination's concrete target for 2025 is to assist at least 15 destinations in improving their statistical data and indicators.",Ready for publishing
24,3,"ISTO's Observatory on Social, Fair and Sustainable Tourism will be running by 2025.  

ISTO is working on the development of an Observatory on Social, Fair and Sustainable Tourism with qualitative and quantitative indicators. Its main functions would be as follow :
To centralise, process and standardise in a coordinated manner the statistical information available from
various sources at national, regional or international level, as well as from surveys that are carried out
periodically from other sources of information.
To have available other data on supply and demand in the field of social, fair and sustainable tourism,
carried out by other bodies.
To create a documentary fund focusing on social policies in tourism, good practices, legislation, tourism
enterprises and customers, as well as academic works, which can be consulted by researchers and
interested stakeholders.
To promote the carrying out of specific studies that contribute to the improvement of the tourism sector.
To produce periodical publications of interest for the tourism sector.
ISTO's Observatory will be running by 2025",Published
25,3,"ISPRA commits to collect and publish indicators relating to ""tourism and the environment"" at a national and often regional level. These indicators are publicly available on the ISPRA Environmental Indicators Database updated annually (https: //annuario.isprambiente.it/sys_ind/macro/28) browsable online.",Published
26,3,"Once a year we will monitor, and publish on the National tourism dashboard, social, environmental, and economic indicators for Slovakia, such as:
Social indicators:
1.	Tourist satisfaction - Specific Survey focused on foreign visitors mapping % tourists satisfied
2.	Pressure – Number of beds per 100 residents, Tourism Intensity (Number of tourists overnight stays per 100 residents per day), Tourism Density (Number of tourists overnight stays per day per km2)
Economic indicators:
1.	Regional Dispersion (Bednights in top 5 destinations)
2.	Seasonality Rate – All (Foreign and domestic) tourists bednights in all forms of paid accommodation establishments, Gini Coefficient (  
3.	Economic Benefits - Avg. spend of domestic and foreign tourist per person/per night in €, Average length of stay of tourists in all forms of paid accommodation establishments
4.	Employment - Tourism Employment/Total Employment (%)
Environmental indicators:
1.	Carbon footprint - Tons of CO2 generated by Accommodation and service activities, Travel agency, tour operator and other reservation service and related activities, and Air transport",Published
27,3,"New baseline data and insights are being developed with partners in the National Data Alliance (LDA). In 2023 we will deliver a new version of our 'Recreation & Tourism Standard', containing definitions and research methods used in teh field of recreation and tourism, to further develop and encourage the use of standards. Besides that, we are working with knowledge partners to develop a national data strategy for tourism which will be ready in the Summer of 2023. Based on that national data strategy we will work on a new activity plan for the LDA and our partners, ready by the end of 2023. By doing so, we are working towards a harmonised basic set of relevant tourism data and insights, which is available to the entire industry. A close look is also taken specifically at new key figures and indicators for the sector that better reflect the broad impact of tourism for the period 2024-2027. For instance indicators on carbon footprint/ emissions. These indicators are shared trough the dashboard 'State of destination Netherlands' via https://dashboard.nbtc.nl/. ",Ready for publishing
28,3,The Austrian Hoteliers Association (ÖHV) publishes studies on an ongoing basis and works with partners on further development to create more knowledge and transparency in tourism. The goal is to establish a hotel benchmark system in Austria by 2025.,Published
29,3,"Developing a monitoring system to map the relevant indicators regarding active and sport truism in Portugal, identifying the barriers and the development enabling factors. Target by 2025: conclusion of the Portuguese Active/Sport Tourism Chart.",Published
30,3,"The rainmaker Tourism Cloud Platform and the Destination Network Open Platform have a feature that shows statistics and insights for the entire customer journey (Dream, Plan, Book, Experience, Share) for a destination and its businesses in a unified dashboard. It uses anonymous data to provide market intelligence for the destination and its tourism organization (DMO). 

The goal for 2025 is to work with at least 50 tourism authorities and destinations to make this feature available to them.",Ready for publishing
31,3,"Region of Attica is selected as a replicating territory at INCIRCLE Project which is financed by INTERREGMED, in order to apply measures of tourism circular economy at the regional unit of the attica's islands. One of these measures is about the Establishment of a data recording and monitoring system for the transition towards Circular Tourism at the regional level.Our concrete target for 2027 is Data recording and processing for Circular transition monitoring.",Published
32,3,"Statistical Office of the Republic of Slovenia (SURS) is constantly striving to provide accurate, up-to date and relevant data on various topics. In the field of tourism statistics, we are actively participating in the process of defining a set of indicators to measure economic, environmental and social areas of tourism within the new national strategy for the development of the tourism in 2022 – 2028. SURS will publish indicators for which we are collecting the data on our website.

SURS also successfully applied to technical support instrument (TSI): Support to the tourism ecosystem toward a more sustainable, resilient and digital tourism. Among other activities, we will address with TSI two key challenges we are facing – development of indicators and collection of data to measure sustainability and digitalisation of tourism. With these indicators, SURS will measure progress towards green and digital transformation of Slovenian tourism. The data will be published on our website.

SURS targets until 2025 are:
•	Definition and publication of indicators on economic performance of tourism
•	Development and publication of indicators to measure sustainability of tourism
•	Development and publication of indicators to measure digitalisation of tourism",Published
33,3,"SETTING UP A UNIFORM SYSTEM FOR MONITORING THE SUSTAINABLE DEVELOPMENT OF TOURISM
Current situation: Currently, there is no system for measuring the sustainability of tourism development. Several institutions (City of Zagreb, City of Zagreb Tourist Board, Croatian Bureau of Statistics etc.) measure mainly statistical data on the territory of the City of Zagreb, in order to monitor the arrivals, overnight stays, number of visitors and similar. So far, these institutions have not monitored tourism by taking into account sustainability. The setting up of a uniform system for monitoring the sustainable development of tourism, such as a digital platform putting together all reports on a yearly basis, would allow the monitoring of tourism industry sustainability and that would ensure timely detection and minimisation of possible negative impacts, which may be caused by tourist operations at the destination. The indicators of sustainable development of tourism have multiple functions, including the examination of past changes and the prediction of the future ones, which contributes to better understanding of complex processes at the destination. Correctly determined sustainable development indicators will lead to quality and informed management and more efficient measuring, and will as well represent a better basis for taking decisions concerning sustainable tourism development and better management of urban resources.
Measure – collection of information from various institutions and publicly available sources, such as citizen, visitor, tourist and tourist industry polls
Objective – setting up, by 2023, a uniform system for monitoring the sustainable development of the City of Zagreb tourism",Published
34,3,"Tourism in Skåne initiated and coordinates the BI-Syd partnership together with 7 Regional DMOs in Sweden, to have a common knowledge platform for trends, external analysis and statistical issues. One of the initiatives over the past 5 years has been to systematize, automate and visualize basic statistics and indicators in tourism in a digital tool, accessible to all. This turned to be a role model and inspiration for the development of a national tool launched by the end of 2021 by the Swedish Agency for Economic and Regional Growth.
Furthermore, within the framework of the BI-Syd Partnership, we have initiated a development pilot in collaboration with a leading phone company to see how we can use mobility data to measure flows in nature based areas. We are currently at the end of the data collecting phase and beginning the development phase. Here we want to test and identify suitable data as indicators to measure and control flows and volumes in order to achieve more balanced flows in attractive areas with high density of visitors.
Coming work is that we have committed to collaborate nationally (national and regional organizations) to find common indicators for sustainable destinations. This work has begun in October 2022 and aims to complete a form of how to optimize the work to be done and find a good collaborating method.
The overall target is to ensure that Tourism in Skåne by 2024 regularly contributes to solving societal challenges linked to the SDGs with the aim of reaching a more balanced flow of visitors and to achieve that Skåne is a more vital destination all year round by 2030 the latest.",Published
35,3,"Committed to unleashing the full power of data while leaving no one behind, UNWTO pledges to improve its statistical data management practices so that people can better discover, access and share the data they need. A concrete action towards this will be to improve the reporting cycle to have 3 published updates per year, starting from year 2023. We will also expand the number of indicators compiled to monitor the role of tourism in the Sustainable Development Goals (SDGs) by end of the year 2022, with all data to be made available in a more user-friendly, accessible online format at https://www.unwto.org/tourismstatistics-database.",Published
36,3,"The actions below are all linked to measurable taregets in our sustainability plan. Collecting data is not a goal itself but serves as a way of measuring the actual goal. 

Goal ACCESSIBILITY: The satisfaction score of international residential tourists with regard to the hospitality of the local population in the art cities, regions and the coast amounts to at least 200 (in the Travelsat statistics, currently 170).

Action regarding data collection: 
2.1.6	We are developing a method to determine satisfaction with the hospitality of the local population in the regions and at the coast.

Goals TRANSPORT:
-	The share of residential tourists in art cities that travel by car (currently 46%) and train (regular trains + HST, currently 41%) is reversed by 2030.
-	At least 15% of residential tourists in the Flemish regions staying in a hotel or B&B travel by public transport and/or bicycle by 2030 (currently 8% for hotels and 6% for B&Bs)
-	At least 25% of residential tourists at the coast staying in commercial accommodation travel by train in 2030 (currently 14%).

Action regarding data collection: 
2.2.5	We develop a method to establish satisfaction with public transport of residential tourists in the regions and at the coast.

Goal COMMUNICATION:
-	Entrepreneurs, visitors and residents have access to transparent and unambiguous information about the sustainability efforts of Visit Flanders, which it reports on every year.

Action regarding data collection: 
2.3.6	Sustainability performance is monitored and communicated either annually or, where possible, on a permanent basis, to the sector, residents and our visitors. These indicators are a.o.:
EXTERNAL:
- The use of energy and water offer
- waste consumption of our tourism offer
- the number of Green Key and Blue Flag Certifications
- the number of accessibility certifications in Flemish accommodation and congress venues
- Our Travelsat score for hospitality, public transportation satisfaction
- The share of visitors coming by train and car
- Satisfaction about sustainability information that we offer
- Some of the scores of our Destination Barometer and Resident Survey (find links below)
- The GHG emissions produced by our foreign visitors and accommodations
-...

INTERNAL OPERATIONS
- Consumption of energy and water
- Production of waste
- Share of renewable materials used for exhibitions, goodie bags,...
-...

Goal ENVIRONMENTAL SUSTAINABILITY OF TOURISM OFFER:
-	The material footprint of tourism businesses decreases by 30% by 2030. 

Action regarding data collection: 
2.4.12	We develop a method to estimate the material footprint and waste production of our tourism industry wherever possible. This allows us to develop SMART objectives for waste management.

Goal GHG Emissions
-	Greenhouse gas emissions generated by the movements of our foreign visitors fall by 25% by 2030, compared to 2019. Emissions resulting from their stay drop by 50% by 2030.

Action regarding data collection: 
2.6.3	We continue to monitor the carbon footprint of our visitors and organisation.
2.6.4	We measure the emissions resulting from our events, whether organised by us or co-organised within our themes and develop guidelines to reduce this impact.

Goal WATER
-	The consumption of drinking water at our office and assets is reduced by 40% by 2030 and 20% by 2024.

Action regarding data collection: 
3.2.2	We monitor water consumption at our office, if possible also at our foreign offices and our assets.

GOALS WASTE MANAGEMENT AND USE OF RAW MATERIALS
-	Domestic waste at our office and assets decreases by 75% by 2030 and is collected after being fully sorted in the right way.
-	We reduce the material footprint of our internal organisation by 30% by 2030.


Actions regarding data collection: 
3.1.4	We monitor the material footprint of our assets and draw up a programme to reduce it in association with Vlaanderen Circulair.
3.3.2	We monitor the energy consumption and emissions of our office, if possible our foreign offices, and all our sites.

The actions above are additional data we collect besides 
- our biannual resident survey: http://toerism-vlaanderen.s3-website-eu-west-1.amazonaws.com/nl 
- our destination barometer: https://toerismevlaanderen.be/nl/cijfers-en-onderzoek/toeristische-barometers/bestemmingsbarometer",Published
37,4,"We are working on the Spanish national strategy of Smart Destinations (UNE 178) and also on the EU Smart Tourism Destination Strategy.
For 2025 we hope to have helped 8 different municiaplities implement these strategies.",Published
38,4,"AViTeM will contribute to this topic by enhancing its ongoing cooperation work with other organisations, local/regional/national institutions, associations, businesses across Europe and the Mediterranean. This will be done mainly through EU territorial cooperation projects.
For what concerns tourism strategies update, AViTeM will keep capitalising the results of its ongoing and past projects to produce useful recommendations for the improvement of tourism-related policies.
By 2030, we expect to have developed and shared good practice examples and concrete outputs from the European cooperation projects we are involved in, with the policy makers of our network, so that they can include these in their policies and strategies related to tourism. We also expect to involve a large number of local and regional entities (ex: city of Marseille, Region of Provence Alpes Côte d'Azur, Provence tourism entity, natural parks, etc.) as partners in new European cooperation projects aiming to updating tourism policies & strategies to make them more sustainable & human-centred.",Published
39,4,"""Together, building a recognised responsible tourism destination"" is the new roadmap for tourism and events in Bordeaux. 

After 10 months of participatory consultations during which all the territory’s stakeholders exchanged their ideas for the tourism and events of tomorrow, Bordeaux Metropole has developed its roadmap up to 2026.

This document is the result of a synthesis of the ideas exchanged during the 9 workshops. Bordeaux Tourist & Conventions Office and Bordeaux Métropole worked hand in hand to offer a panel of 32 detailed actions with precise objectives, success indicators, a timetable and identification of key partners. A maximum of parameters were taken into account and calculated to ensure the proper implementation of each action.

Here are the objectives that the destination is committed to meeting:
– Improving the offer and accompanying it through its environmental transition so that it is adapted to the new customers’ expectations and to the environmental commitments of Bordeaux Métropole, to go back to pre-Covid tourism performances by renewing and creating customer loyalty thanks to the upgrade and transformation of the offering.

– Developing local tourism to guarantee a balance for the territory, extending touristic seasons, incentivising dialogue between residents and visitors by offering to the metropolis’ inhabitants new discoveries and stay in and around Bordeaux Métropole area.

– Developing business tourism alongside with the territory’s sectors of excellence to always use better our dedicated infrastructures – those which have been built recently or those for which investments have been planned – and to increase economic impacts for the area regarding main sectors and skills

The roadmap is available on this link: https://fr.calameo.com/read/005365752988738931087

UPDATE: The objective of this new open governance process is to empower our community, to make them decide the future of tourism in our city. For that, it is important for us that they also have all the information needed on how our industry works. On agora-tourism-bordeaux.com, key figures about tourism are regularly updated with full transparency. We also publish entirely the surveys we regularly do among our residents and visitors. This website will be continously updated and developed. Our target is to maintain a tourist activity support rate among residents equal or superior to the European medium rate during our resident sentiment index surveys (each two years, the next one will be in 2023).",Published
